ObjectNumber,Title
2006.8.A-M,Hanging Lamp
2014.15,Octopus' Vase
"F89-31 A,B",Cymric Challenge Cup
33-164,The River Oise near Auvers
2001.27.A-O,Box in a Valise
"2001.28.A,B",Object Indestructable
57-113,Winter: Seal Point
F77-34,A Pantry Ballet (for Jacques Offenbach)
30-5,Portrait of Lady Abercromby
30-6,Portrait of Miss Sarah Cruttenden
30-22,Portrait of Don Ignacio O'Mulryan y Rourera
54-96,Gardens at Vallauris
F94-14,Vase
2006.9.37,"The Stallion, Gillebrand"
2016.4,Chair
2006.34,Ink Stand
2015.24.1.1-7,Wooden clock case
41-23/850,Urn
30-19,"Sir George Cooke, Bart."
31-56,Repose
45-1,Portrait of Emily St. Clare as a Bacchante
54-36,Mrs.William Lock of Norbury
82-21/25,"Portrait of Jeremiah Meyer, R.A."
32-101,Master Alexander Mackenzie
2006.45.1,Teapot
2006.45.2,Coffeepot
2006.45.3,Cream Jug
"2006.45.4.A,B",Sugar Bowl and Lid
2011.3,Circular Plaque
2015.24.2,Side Chair
31-58,Portrait of a Boy
31-74,The Fish Market at Hastings Beach
F98-2,Sleeping Bacchus
32-10,Arab Horsemen
32-54,Portrait of the Sculptor Paul Lemoyne
34-103,A Ravine: Souvenir of Algeria
55-39,The Dell at Helmingham Park
81-30/108,Outlet of Wyburne Lake
89-16,Christ on the Sea of Galilee
92-35,The Oath of Brutus after the Death of Lucretia
F96-17,The Eruption of Vesuvius
32-15,The Illness of Pierrot
2003.14,Panel
2003.18,Footed Bowl (Coupe de Rivoli)
2004.43.1,Water Jug
2004.43.2,Goblet
2014.4,Goblet
34-236/22,Necklace
34-236/23,Earring
34-236/24,Earring
34-236/25,Brooch
34-236/26,Necklace
34-236/27,Earring
34-236/28,Earring
34-236/29,Brooch
2004.21,Oedipus Conquering the Sphinx
2006.1,The Mower
30-11,Cows Descending the Hills at Sunset
30-18,Waiting
31-47,Cattle Pasture in the Touraine
31-60,The Approaching Storm
31-77,Crouching Flora
32-197,Standing Bather
32-30,"Jo, the Beautiful Irish Woman"
32-76,"View of Subiaco, Italian Scene"
33-149,Return From the Hunt
43-34,Bust of Sidonie Leblonde
44-50/5,Jaguar Devouring a Hare (model)
80-44,View of Lake Garda
F88-17,Italian Woman at the Fountain
2016.17,Chair
"2005.16.1,2",Candelabrum
2006.35,Vase
2006.36.1,Vase
2006.36.2,Vase
2008.19.A-D,Chandelier
2009.7,Games Table
2010.19.1,Chair
2011.29,Vase
2011.41,Mailbox
"2012.1.1.A,B",Vase
"2012.1.2.A,B",Vase
62-12,Vase
11.2007.10     2015.13.25,"Rue de la Princesse, Winter (Rue de la princesse, l'hiver)"
11.2007.11  2015.13.24,The Lock of Saint-Mammès (L'ecluse de Saint-Mammès)
